X , P1AncestryProportion , P2AncestryProportion , P3AncestryProportion , P4AncestryProportion , P5AncestryProportion , P6AncestryProportion , P7AncestryProportion , P8AncestryProportion
340 , 0.307692 , 0.307692 , 0.0769231 , 0.0 , 0.0 , 0.0 , 0.153846 , 0.153846
341 , 0.1 , 0.1 , 0.0 , 0.0 , 0.0 , 0.0 , 0.1 , 0.7
342 , 0.142857 , 0.25 , 0.178571 , 0.0714286 , 0.0 , 0.0 , 0.0 , 0.357143
343 , 0.0 , 0.125 , 0.25 , 0.0 , 0.0 , 0.25 , 0.0625 , 0.3125
344 , 0.103448 , 0.241379 , 0.0344828 , 0.0344828 , 0.0 , 0.241379 , 0.137931 , 0.206897
345 , 0.04 , 0.24 , 0.0 , 0.08 , 0.04 , 0.16 , 0.2 , 0.24
346 , 0.227273 , 0.0909091 , 0.136364 , 0.0909091 , 0.0 , 0.0 , 0.0 , 0.454545
347 , 0.130435 , 0.173913 , 0.0 , 0.0869565 , 0.0 , 0.130435 , 0.173913 , 0.304348
348 , 0.05 , 0.15 , 0.0 , 0.1 , 0.0 , 0.25 , 0.15 , 0.3
349 , 0.2 , 0.2 , 0.0 , 0.0 , 0.0 , 0.3 , 0.2 , 0.1
350 , 0.0 , 0.4375 , 0.0 , 0.25 , 0.0625 , 0.0625 , 0.0 , 0.1875
351 , 0.0 , 0.111111 , 0.222222 , 0.222222 , 0.0 , 0.037037 , 0.0740741 , 0.333333
352 , 0.0 , 0.15 , 0.15 , 0.05 , 0.0 , 0.2 , 0.0 , 0.45
353 , 0.0 , 0.380952 , 0.0952381 , 0.0952381 , 0.0 , 0.0 , 0.0952381 , 0.333333
354 , 0.275862 , 0.241379 , 0.0 , 0.0689655 , 0.0344828 , 0.103448 , 0.172414 , 0.103448
355 , 0.125 , 0.375 , 0.25 , 0.0625 , 0.0 , 0.0 , 0.0625 , 0.125
356 , 0.125 , 0.375 , 0.25 , 0.125 , 0.0 , 0.0 , 0.0 , 0.125
357 , 0.05 , 0.25 , 0.1 , 0.25 , 0.0 , 0.05 , 0.0 , 0.3
358 , 0.0 , 0.461538 , 0.0769231 , 0.0 , 0.0 , 0.384615 , 0.0 , 0.0769231
359 , 0.0 , 0.384615 , 0.0 , 0.0769231 , 0.0769231 , 0.0 , 0.0769231 , 0.384615
360 , 0.0 , 0.285714 , 0.142857 , 0.0 , 0.0 , 0.0 , 0.0 , 0.571429
361 , 0.428571 , 0.0 , 0.0 , 0.0714286 , 0.0 , 0.0 , 0.357143 , 0.142857
362 , 0.333333 , 0.0 , 0.0833333 , 0.333333 , 0.0 , 0.0 , 0.0 , 0.25
363 , 0.2 , 0.3 , 0.0 , 0.2 , 0.0 , 0.0 , 0.0 , 0.3
364 , 0.0434783 , 0.26087 , 0.130435 , 0.0 , 0.0869565 , 0.0869565 , 0.173913 , 0.217391
365 , 0.0454545 , 0.0454545 , 0.0909091 , 0.0909091 , 0.318182 , 0.0 , 0.0454545 , 0.363636
366 , 0.0 , 0.333333 , 0.0 , 0.0 , 0.0 , 0.166667 , 0.0 , 0.5
367 , 0.0555556 , 0.277778 , 0.111111 , 0.0555556 , 0.0 , 0.111111 , 0.0 , 0.388889
368 , 0.1 , 0.4 , 0.0 , 0.0 , 0.0 , 0.05 , 0.3 , 0.15
369 , 0.0588235 , 0.294118 , 0.176471 , 0.0588235 , 0.0588235 , 0.235294 , 0.0 , 0.117647
370 , 0.0952381 , 0.428571 , 0.190476 , 0.0 , 0.0 , 0.0 , 0.0 , 0.285714
371 , 0.214286 , 0.214286 , 0.0714286 , 0.0 , 0.0 , 0.142857 , 0.0714286 , 0.285714
372 , 0.0 , 0.375 , 0.0 , 0.125 , 0.0 , 0.125 , 0.125 , 0.25
373 , 0.133333 , 0.0666667 , 0.0 , 0.0666667 , 0.0666667 , 0.166667 , 0.2 , 0.3
374 , 0.153846 , 0.230769 , 0.0769231 , 0.0769231 , 0.153846 , 0.0769231 , 0.153846 , 0.0769231
375 , 0.115385 , 0.153846 , 0.230769 , 0.0384615 , 0.0 , 0.0769231 , 0.0 , 0.384615
376 , 0.111111 , 0.444444 , 0.0 , 0.0555556 , 0.0 , 0.222222 , 0.0 , 0.166667
377 , 0.0 , 0.275862 , 0.137931 , 0.0689655 , 0.0 , 0.0 , 0.137931 , 0.37931
378 , 0.0 , 0.307692 , 0.230769 , 0.0769231 , 0.0 , 0.0 , 0.0 , 0.384615
379 , 0.157895 , 0.157895 , 0.157895 , 0.0 , 0.0526316 , 0.210526 , 0.105263 , 0.157895
380 , 0.0 , 0.5 , 0.166667 , 0.0833333 , 0.0 , 0.0833333 , 0.0 , 0.166667
381 , 0.0 , 0.315789 , 0.0 , 0.105263 , 0.0 , 0.0526316 , 0.0 , 0.526316
382 , 0.0 , 0.5 , 0.0833333 , 0.0 , 0.0 , 0.333333 , 0.0 , 0.0833333
383 , 0.0909091 , 0.227273 , 0.0909091 , 0.272727 , 0.0 , 0.136364 , 0.0454545 , 0.136364
384 , 0.0588235 , 0.235294 , 0.0 , 0.0 , 0.0 , 0.0588235 , 0.0 , 0.647059
385 , 0.0 , 0.0 , 0.0 , 0.1875 , 0.125 , 0.0 , 0.0 , 0.6875
386 , 0.0 , 0.461538 , 0.153846 , 0.153846 , 0.0 , 0.0 , 0.153846 , 0.0769231
387 , 0.0 , 0.44 , 0.2 , 0.08 , 0.0 , 0.0 , 0.04 , 0.24
388 , 0.142857 , 0.285714 , 0.0 , 0.0714286 , 0.0 , 0.0714286 , 0.0 , 0.428571
389 , 0.0952381 , 0.333333 , 0.0 , 0.0952381 , 0.0 , 0.0952381 , 0.142857 , 0.238095
